CountType,DictSize,Epochs,BatchSize,AvgProfit
hi_lo,10000,10,32,-1.789
hi_lo,10000,10,64,-6.5835
hi_lo,10000,50,32,-0.1315
hi_lo,10000,50,64,-0.1355
hi_lo,50000,10,32,-0.1055
hi_lo,50000,10,64,-3.591
hi_lo,50000,50,32,-0.131
hi_lo,50000,50,64,-0.145
zen,10000,10,32,-0.1285
zen,10000,10,64,-0.1085
zen,10000,50,32,-0.1295
zen,10000,50,64,-0.1225
zen,50000,10,32,-0.1225
zen,50000,10,64,-1.1105
zen,50000,50,32,-0.1265
zen,50000,50,64,-0.1315
uston_apc,10000,10,32,-0.155
uston_apc,10000,10,64,-0.104
uston_apc,10000,50,32,-0.113
uston_apc,10000,50,64,-0.1485
uston_apc,50000,10,32,-0.1045
uston_apc,50000,10,64,-0.1175
uston_apc,50000,50,32,-0.117
uston_apc,50000,50,64,-0.0915
ten_count,10000,10,32,-0.073
ten_count,10000,10,64,-0.1285
ten_count,10000,50,32,-0.233
ten_count,10000,50,64,-0.1265
ten_count,50000,10,32,-7.4985
ten_count,50000,10,64,-2.099
ten_count,50000,50,32,-0.156
ten_count,50000,50,64,-0.1255
full,10000,10,32,-0.131
full,10000,10,64,-0.078
full,10000,50,32,-0.0845
full,10000,50,64,-0.154
full,50000,10,32,-0.1265
full,50000,10,64,-0.088
full,50000,50,32,-0.104
full,50000,50,64,-0.096
