DECK_COUNT,GAMMA,BATCH_SIZE,LEARNING_RATE,EPS_START,EPS_DECAY,EPS_MIN,MIN_BET,MAX_BET,INITIAL_BANKROLL,MEMORY_SIZE,AverageReward,HardAcc,SoftAcc,PairsAcc,OverallAcc
6,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,1000,-0.146,,,,
6,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,20000,-0.1615,,,,
6,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,50000,-0.1245,,,,
6,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,1000,-0.1145,,,,
6,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,20000,-0.098,,,,
6,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,50000,-0.1445,,,,
6,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,1000,-0.1805,,,,
6,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,20000,-0.0935,,,,
6,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,50000,-0.133,,,,
6,0.9,32,0.0001,1.0,0.99,0.001,1,50,1000,1000,-0.14,,,,
6,0.9,32,0.0001,1.0,0.99,0.001,1,50,1000,20000,-0.1165,,,,
6,0.9,32,0.0001,1.0,0.99,0.001,1,50,1000,50000,-0.1135,,,,
6,0.9,32,0.0001,1.0,0.995,0.01,1,50,1000,1000,-0.113,,,,
6,0.9,32,0.0001,1.0,0.995,0.01,1,50,1000,20000,-0.167,,,,
6,0.9,32,0.0001,1.0,0.995,0.01,1,50,1000,50000,-0.1125,,,,
6,0.9,32,0.0001,1.0,0.995,0.001,1,50,1000,1000,-0.1035,,,,
6,0.9,32,0.0001,1.0,0.995,0.001,1,50,1000,20000,-0.114,,,,
6,0.9,32,0.0001,1.0,0.995,0.001,1,50,1000,50000,-0.0935,,,,
6,0.9,32,0.0001,0.5,0.98,0.01,1,50,1000,1000,-0.0865,,,,
6,0.9,32,0.0001,0.5,0.98,0.01,1,50,1000,20000,-0.1875,,,,
6,0.9,32,0.0001,0.5,0.98,0.01,1,50,1000,50000,-0.137,,,,
6,0.9,32,0.0001,0.5,0.98,0.001,1,50,1000,1000,-0.104,,,,
6,0.9,32,0.0001,0.5,0.98,0.001,1,50,1000,20000,-0.107,,,,
6,0.9,32,0.0001,0.5,0.98,0.001,1,50,1000,50000,-0.1495,,,,
6,0.9,32,0.0001,0.5,0.99,0.01,1,50,1000,1000,-0.1675,,,,
6,0.9,32,0.0001,0.5,0.99,0.01,1,50,1000,20000,-0.162,,,,
6,0.9,32,0.0001,0.5,0.99,0.01,1,50,1000,50000,-0.1125,,,,
6,0.9,32,0.0001,0.5,0.99,0.001,1,50,1000,1000,-0.151,,,,
6,0.9,32,0.0001,0.5,0.99,0.001,1,50,1000,20000,-0.119,,,,
6,0.9,32,0.0001,0.5,0.99,0.001,1,50,1000,50000,-0.1365,,,,
6,0.9,32,0.0001,0.5,0.995,0.01,1,50,1000,1000,-0.1405,,,,
6,0.9,32,0.0001,0.5,0.995,0.01,1,50,1000,20000,-0.153,,,,
6,0.9,32,0.0001,0.5,0.995,0.01,1,50,1000,50000,-0.094,,,,
6,0.9,32,0.0001,0.5,0.995,0.001,1,50,1000,1000,-0.1615,,,,
6,0.9,32,0.0001,0.5,0.995,0.001,1,50,1000,20000,-0.137,,,,
6,0.9,32,0.0001,0.5,0.995,0.001,1,50,1000,50000,-0.146,,,,
6,0.9,32,0.0005,1.0,0.98,0.01,1,50,1000,1000,-0.122,,,,
6,0.9,32,0.0005,1.0,0.98,0.01,1,50,1000,20000,-0.174,,,,
6,0.9,32,0.0005,1.0,0.98,0.01,1,50,1000,50000,-0.1525,,,,
6,0.9,32,0.0005,1.0,0.98,0.001,1,50,1000,1000,-0.1355,,,,
6,0.9,32,0.0005,1.0,0.98,0.001,1,50,1000,20000,-0.148,,,,
6,0.9,32,0.0005,1.0,0.98,0.001,1,50,1000,50000,-0.09,,,,
6,0.9,32,0.0005,1.0,0.99,0.01,1,50,1000,1000,-0.156,,,,
6,0.9,32,0.0005,1.0,0.99,0.01,1,50,1000,20000,-0.1755,,,,
6,0.9,32,0.0005,1.0,0.99,0.01,1,50,1000,50000,-0.207,,,,
6,0.9,32,0.0005,1.0,0.99,0.001,1,50,1000,1000,-0.1675,,,,
6,0.9,32,0.0005,1.0,0.99,0.001,1,50,1000,20000,-0.1525,,,,
6,0.9,32,0.0005,1.0,0.99,0.001,1,50,1000,50000,-0.0975,,,,
6,0.9,32,0.0005,1.0,0.995,0.01,1,50,1000,1000,-0.122,,,,
6,0.9,32,0.0005,1.0,0.995,0.01,1,50,1000,20000,-0.1335,,,,
6,0.9,32,0.0005,1.0,0.995,0.01,1,50,1000,50000,-0.1895,,,,
6,0.9,32,0.0005,1.0,0.995,0.001,1,50,1000,1000,-0.1555,,,,
6,0.9,32,0.0005,1.0,0.995,0.001,1,50,1000,20000,-0.074,,,,
6,0.9,32,0.0005,1.0,0.995,0.001,1,50,1000,50000,-0.147,,,,
6,0.9,32,0.0005,0.5,0.98,0.01,1,50,1000,1000,-0.1845,,,,
6,0.9,32,0.0005,0.5,0.98,0.01,1,50,1000,20000,-0.1535,,,,
6,0.9,32,0.0005,0.5,0.98,0.01,1,50,1000,50000,-0.139,,,,
6,0.9,32,0.0005,0.5,0.98,0.001,1,50,1000,1000,-0.1045,,,,
6,0.9,32,0.0005,0.5,0.98,0.001,1,50,1000,20000,-0.153,,,,
