DECK_COUNT,GAMMA,BATCH_SIZE,LEARNING_RATE,EPS_START,EPS_DECAY,EPS_MIN,MIN_BET,MAX_BET,INITIAL_BANKROLL,MEMORY_SIZE,AverageReward,HardAcc,SoftAcc,PairsAcc,OverallAcc
6,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,1000,-0.06,,,,
6,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,20000,-0.0955,,,,
6,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,50000,-0.043,,,,
6,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,1000,-0.1295,,,,
6,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,20000,-0.0745,,,,
6,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,50000,-0.116,,,,
6,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,1000,-0.12,,,,
6,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,20000,-0.104,,,,
6,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,50000,-0.135,,,,
6,0.9,32,0.0001,1.0,0.99,0.001,1,50,1000,1000,-0.137,,,,
6,0.9,32,0.0001,1.0,0.99,0.001,1,50,1000,20000,-0.134,,,,
6,0.9,32,0.0001,1.0,0.99,0.001,1,50,1000,50000,-0.0845,,,,
6,0.9,32,0.0001,1.0,0.995,0.01,1,50,1000,1000,-0.0865,,,,
6,0.9,32,0.0001,1.0,0.995,0.01,1,50,1000,20000,-0.095,,,,
6,0.9,32,0.0001,1.0,0.995,0.01,1,50,1000,50000,-0.1315,,,,
6,0.9,32,0.0001,1.0,0.995,0.001,1,50,1000,1000,-0.104,,,,
6,0.9,32,0.0001,1.0,0.995,0.001,1,50,1000,20000,-0.0915,,,,
6,0.9,32,0.0001,1.0,0.995,0.001,1,50,1000,50000,-0.1095,,,,
6,0.9,32,0.0001,0.5,0.98,0.01,1,50,1000,1000,-0.1345,,,,
6,0.9,32,0.0001,0.5,0.98,0.01,1,50,1000,20000,-0.0705,,,,
6,0.9,32,0.0001,0.5,0.98,0.01,1,50,1000,50000,-0.105,,,,
